#{"t_start": 1776670605.7900777, "env_id": "None"}
r,l,t
-8325.336368,1080,791.466034
-9944.762722,1080,792.828307
-13430.220895,1080,793.428849
-14324.650608,1080,794.767206
-25794.532078,1080,795.369363
-8269.806072,1080,796.71383
-32483.139196,1080,797.318766
-10094.577113,1080,798.697703
-17257.816874,1080,799.306659
-9331.991875,1080,800.702754
-22157.670812,1080,801.317644
-11528.289585,1080,802.730707
-25881.91658,1080,803.332425
-25737.268545,1080,804.724797
-13982.149817,1080,806.1011
-12071.055356,1080,806.757491
-28978.561704,1080,808.1401
-12358.025627,1080,808.768567
-33267.403699,1080,810.132918
-28783.217617,1080,810.726867
-44852.745342,1080,812.117159
-31090.807888,1080,812.710915
1248.061149,1080,814.051236
-67166.840596,1080,814.645757
-33008.553103,1080,815.920652
-9884.215463,1080,816.517352
-1238.855655,1080,817.892674
-55485.324568,1080,818.4924
-37092.023059,1080,819.822461
-30805.327283,1080,820.422766
-23787.093649,1080,821.803393
-7191.894413,1080,823.100681
-14410.778237,1080,823.762235
-2013.490136,1080,825.107358
625.467742,1080,825.732584
-16660.651976,1080,827.059806
-22529.21563,1080,827.682565
-21828.065989,1080,829.003993
-16337.414512,1080,829.588603
-26681.423928,1080,831.002539
-24771.024638,1080,831.595753
-11764.705251,1080,832.859472
-12423.700983,1080,833.449934
-10342.77844,1080,834.874424
-11822.150042,1080,835.476633
-18623.980942,1080,836.822591
-22285.483411,1080,837.425231
-12431.729541,1080,838.795231
-45365.005363,1080,839.401304
-13717.75786,1080,840.856422
-2919.310619,1080,842.157949
-9180.199102,1080,842.821382
-40481.076117,1080,844.203884
124.735437,1080,844.83323
-39060.585642,1080,846.248596
-19466.648861,1080,846.845854
-44230.496173,1080,848.176454
-105271.149033,1080,848.772736
-23421.463196,1080,850.163961
-14110.024394,1080,850.776469
-4875.596381,1080,852.127058
-18619.305701,1080,852.731977
-36115.613027,1080,854.090214
-30491.090655,1080,854.703523
-32628.288783,1080,856.106151
-32067.224314,1080,856.730086
-16975.524758,1080,858.099491
-39865.867336,1080,858.701092
-22137.748491,1080,860.032533
-28011.543224,1080,861.402142
-4838.008566,1080,862.057841
-33379.616989,1080,863.382934
-21042.555201,1080,864.003409
-19032.960001,1080,865.382573
-13501.93312,1080,865.983528
-33791.23559,1080,867.407495
-17850.124673,1080,868.022821
-19956.77538,1080,869.374078
1888.286427,1080,869.980301
-12055.755335,1080,871.344536
-11420.871629,1080,871.956409
-27921.290233,1080,873.34437
-47334.851669,1080,873.952081
-13029.394034,1080,875.33705
-22121.379279,1080,875.931853
-27569.228292,1080,877.281498
-29612.253943,1080,878.614285
986.817672,1080,879.294072
-13646.845693,1080,880.671349
-28658.380641,1080,881.324353
-15423.451334,1080,882.648232
1064.161661,1080,883.267944
-31617.969069,1080,884.682194
-43566.953333,1080,885.291986
-28865.638609,1080,886.648437
-15325.923026,1080,887.27211
-13562.080316,1080,888.658443
-17639.10214,1080,889.267527
-24208.36147,1080,890.667468
-19402.310216,1080,891.286416
-10082.559705,1080,892.694458
-25897.044936,1080,893.306494
-56860.154427,1080,894.657876
-33923.318065,1080,895.267579
-16956.625628,1080,896.668862
-16773.077323,1080,898.057083
-10981.818949,1080,898.727458
-21823.018642,1080,900.042174
-27281.975097,1080,900.659798
-7132.786976,1080,902.061402
-23185.153436,1080,902.666604
-5236.515298,1080,904.055835
-28953.670359,1080,904.653752
-14101.973627,1080,906.020007
-11727.414965,1080,906.619673
-25547.140915,1080,908.005719
-29146.163344,1080,908.624086
-23044.398972,1080,910.009578
-35214.328121,1080,910.617083
-48350.696026,1080,911.975303
-10974.236891,1080,912.58517
-45380.155137,1080,914.000063
-15458.786756,1080,914.607349
-24134.147893,1080,916.031093
-22063.580049,1080,917.371332
-39620.883562,1080,918.045618
-24568.467425,1080,919.415085
-30010.312703,1080,920.029558
-15652.264079,1080,921.35973
-26219.478211,1080,921.958747
1746.666168,1080,923.334582
1167.146741,1080,923.944851
-24269.703535,1080,925.344963
-38793.298143,1080,925.961383
-26668.534154,1080,927.320909
422.856311,1080,927.924534
-20670.651302,1080,929.287206
-24197.563567,1080,929.902242
-10970.743451,1080,931.253046
